ContactId,TagId
9105,261
9107,261
9109,261
9111,261
9113,261
9115,261
9117,261
9119,261
9121,261
9123,261
9125,261
9127,261
9129,261
9131,261
9137,261
9139,261
9141,261
9143,261
9145,261
9147,261
9151,261
9153,261
9155,261
9157,261
9159,261
9161,261
9163,261
9165,261
9167,261
9169,261
9171,261
9173,261
9175,261
9177,261
9179,261
9181,261
9183,261
9185,261
9187,261
9189,261
9191,261
9193,261
9195,261
9197,261
9199,261
9201,261
9203,261
9205,261
9207,261
9209,261
9211,261
9213,261
9215,261
9217,261
9219,261
9221,261
9223,261
9225,261
9227,261
9229,261
9233,261
9235,261
9237,261
9239,261
9241,261
9243,261
9245,261
9247,261
9249,261
9251,261
9253,261
9255,261
9257,261
9261,261
9263,261
9265,261
9267,261
9269,261
9271,261
9275,261
9279,261
9281,261
9283,261
9285,261
9287,261
9289,261
9291,261
9293,261
9295,261
9297,261
9299,261
9301,261
9303,261
9305,261
9307,261
9309,261
9311,261
9313,261
9315,261
9317,261
9319,261
9323,261
9325,261
9329,261
9331,261
9333,261
9335,261
9337,261
9339,261
9341,261
9343,261
9345,261
9347,261
9349,261
9351,261
9355,261
9357,261
9359,261
9361,261
9363,261
9365,261
9369,261
9371,261
9373,261
9375,261
9377,261
9379,261
9381,261
9383,261
9387,261
9389,261
9391,261
9393,261
9395,261
9397,261
9399,261
9401,261
9405,261
9409,261
9411,261
9413,261
9415,261
9417,261
9419,261
9421,261
9423,261
9425,261
9427,261
9429,261
9431,261
9433,261
9435,261
9437,261
9439,261
9441,261
9443,261
9445,261
9447,261
9449,261
9453,261
9455,261
9459,261
9461,261
9463,261
9465,261
9467,261
9469,261
9471,261
9473,261
9475,261
9477,261
9479,261
9481,261
9483,261
9485,261
9487,261
9489,261
9493,261
9495,261
9497,261
9501,261
9503,261
9505,261
9509,261
9511,261
9513,261
9515,261
9521,261
9523,261
9527,261
9531,261
9533,261
9535,261
9537,261
9539,261
9541,261
9543,261
9545,261
9547,261
9549,261
9551,261
9553,261
9557,261
9561,261
9563,261
9565,261
9567,261
9569,261
9571,261
9575,261
9577,261
9579,261
9583,261
9587,261
9589,261
9591,261
9599,261
9603,261
9605,261
9607,261
9609,261
9611,261
9615,261
9617,261
9621,261
9623,261
9625,261
9627,261
9629,261
9631,261
9635,261
9639,261
9641,261
9643,261
9645,261
9647,261
9651,261
9653,261
9655,261
8285,155
9657,155
8325,169
8327,169
8329,169
8351,169
8357,169
8359,169
8323,187
8331,187
8333,187
8335,187
8337,187
8339,187
8341,187
8349,187
8353,187
8355,187
8361,187
8385,187
8387,187
8389,187
8391,187
8285,233
8285,135
8285,133
8319,133
8285,175
8397,175
8285,255
8407,199
8409,199
8517,251
8285,153
8423,137
9537,137
8407,203
8409,203
8285,213
8373,189
8519,253
8285,193
8285,191
8285,205
8285,269
8285,219
8285,92
8287,92
8463,227
8467,227
8379,185
8381,185
8383,185
8285,259
8285,141
